Gene_id	A1	B1	A2	A3	B2	B3	length
G000604	103	47	168	94	27	61	774
G000605	95	25	94	100	16	29	372
G000606	5721	11116	8335	6518	11291	5618	1140
G000607	867	569	132	1007	544	180	936
G000608	51400	30805	18731	58625	20147	41840	387
G000609	280	287	1472	1155	198	365	678
G000610	469	1424	674	570	545	932	2775
G000611	520	583	442	703	161	286	867
G000612	750	429	508	1158	194	414	321
G000613	594	665	1414	894	373	769	1530
G000614	791	1006	2245	1013	367	519	960
G000615	7733	7370	6744	9648	6460	10421	621
G000616	2612	664	539	3004	654	475	207
G000617	1633	1004	1090	1604	913	1068	744
G000618	1103	649	862	1313	431	1236	645
G000619	3664	1598	2930	5107	1119	5917	673
G000620	1879	9872	1387	2225	4489	3077	3513
G000621	3687	4825	3964	4000	8624	2787	1104
G000622	16347	19664	22625	21006	9928	13365	498
G000623	263	468	232	264	295	371	446
G000624	1217	1689	1756	1283	801	1317	1209
G000625	2206	1756	1634	2283	1215	1396	726
G000626	650	1331	427	618	679	416	3531
G000627	31865	17858	19154	36189	11996	29317	651
G000628	852	4764	551	898	1929	1384	1530
G000629	67	226	56	51	149	114	1080
G000630	1303	2267	762	1567	1763	901	1440
G000631	1692	1009	1111	1683	371	690	1974
G000632	262	237	493	378	124	213	1572
G000633	482	824	281	373	406	300	1524
G000634	864	2442	1518	932	895	1026	1049
G000635	366766	218649	377053	430756	170884	149030	195
G000636	212405	449191	273360	267737	354923	257536	357
G000637	222	1652	212	252	781	314	1152
G000638	4008	9216	10400	4639	9303	4863	1173
G000639	1241	3710	910	1272	1616	1559	2769
G000640	24	19	60	25	14	21	540
G000641	36	62	62	54	69	23	1068
G000642	2959	9348	2762	3294	4821	3360	1695
G000643	1624	2664	1354	1564	1730	1053	1883
G000644	1937	5254	1262	1857	2099	2046	3087
G000645	3903	2037	1293	3724	827	523	3246
G000646	3123	2013	3890	3997	1004	1604	1977
G000647	634	1751	292	632	633	397	990
G000648	56669	55445	15356	64682	38883	21794	1491
G000649	886	2825	699	801	1103	508	1629
G000650	253	396	338	338	190	246	2952
G000651	753	636	775	770	307	492	1566
G000652	3239	10175	2376	3473	6056	3396	2616
G000653	311	318	199	354	170	71	597
G000654	1486	922	912	1505	746	440	624
G000655	3633	14568	2087	3583	10001	4173	1233
G000656	3349	8268	3916	3774	4019	2745	2817
G000657	2460	2951	2900	2401	1248	2386	1746
G000658	97599	54021	95821	101085	43494	65594	462
G000659	9239	27492	806	8919	12780	2058	2175
G000660	647	2390	605	757	1258	955	3112
G000661	1439	2356	1226	1374	1165	1496	2086
G000662	319	412	138	348	357	98	393
G000663	542	139	442	517	206	111	1142
G000664	445	1346	423	469	767	413	2091
